dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0.1126654,0.653118,0.642457,0.1344753,0.0915633,0,0.297213,0.257678,0.636855,0
0.1030597,0.680265,0.484036,0.1354579,0.210083,0,0.165098,0.253096,0.862306,0
0.0061004,0.724416,0.247706,0.0909902,0.40533,0,0.306583,0.292982,0.262379,0
0,0.162213,0.888228,0.0926746,0.468383,0,0.228463,0.246464,0.238321,0
0.0124881,0.326711,0.514505,0.0909687,0.119426,0,0.17025,0.256103,0.42925,0
0,0.179996,0.784245,0.0912257,0.468383,0,0.120389,0.227669,0.24665,0
0.0188661,0.244315,0.462581,0.0901436,0.119426,0,0.238519,0.247581,0.379323,0
0.0004987,0.287075,0.424437,0.0886576,0.119426,0,0.211247,0.250307,0.41829,0
0.0097471,0.339076,0.289976,0.0885916,0.119426,0,0.204727,0.262383,0.624718,0
0.0052557,0.256665,0.460727,0.0900856,0.330882,0,0.318384,0.267564,0.633023,0
0.0268446,0.22033,0.919873,0.0943723,0.119426,0,0.174807,0.238931,0.339578,0
0.0100565,0.254198,0.489718,0.0868423,0.330882,0,0.315565,0.246069,0.599534,0
0.0214256,0.273445,0.524017,0.0887223,0.119426,0,0.23101,0.273327,0.424445,0
0.0019178,0.331787,0.959557,0.0950404,0.119426,0,0.18451,0.227973,0.487337,0
0.0155912,0.365778,0.570473,0.0864129,0.119426,0,0.19217,0.223927,0.595427,0
0.0142645,0.389226,0.539938,0.0925147,0.119426,0,0.147333,0.240255,0.595594,0
0.0126612,0.352622,0.511227,0.0877109,0.330882,0,0.218265,0.243399,0.604767,0
0.0253126,0.335558,0.671718,0.1020598,0.468383,0,0.292112,0.25882,0.138383,0
0,0.39708,0.70862,0.0838884,0.119426,0,0.195325,0.224506,0.343322,0
0.0032116,0.212979,0.64039,0.090152,0.119426,0,0.185308,0.268423,0.350609,0
0.0031822,0.397284,0.332323,0.0861669,0.119426,0,0.18795,0.247443,0.37857,0
0.0085327,0.464899,0.638755,0.0884235,0.119426,0,0.2029,0.239606,0.494828,0
0.0009861,0.118679,0.667827,0.0886784,0.377649,0,0.13473,0.21104,0.385384,0
0.0193288,0.235405,0.400361,0.0894047,0.119426,0,0.273303,0.250316,0.52952,0
0.0044034,0.199234,0.411548,0.0895013,0.330882,0,0.235406,0.25952,0.561565,0
0.0050709,0.165153,0.95294,0.0903347,0.119426,0,0.0758242,0.236448,0.523172,0
0.0245349,0.0902911,0.497191,0.1148841,0.495205,0,0.171857,0.205461,0.0926064,0
0.0221451,0.232531,0.550985,0.0942563,0.377649,0,0.19401,0.270488,0.340501,0
0.0179994,0.0635509,0.639924,0.0921878,0.377649,0,0.137645,0.25516,0.398454,0
0.020214,0.304132,0.626064,0.0896419,0.377649,0,0.186759,0.265989,0.40264,0
0.0074429,0.277498,0.456527,0.0885766,0.377649,0,0.254918,0.249255,0.44881,0
0.0255782,0.107466,0.703074,0.1068282,0.495205,0,0.151378,0.270376,0.140554,0
0.0246615,0.315105,0.583281,0.0888925,0.377649,0,0.453162,0.26592,0.378761,0
0.0168418,0.052398,0.91977,0.0929643,0.495205,0,0.259941,0.208867,0.243376,0
0.0291564,0.164797,0.248689,0.419289,0.488383,0.0842278,0.177299,0.437162,0.103594,1
0.0003187,0.299225,0.372531,0.153665,0.139426,0.0542278,0.183766,0.373095,0.526428,1
0.0076893,0.265326,0.441685,0.1080763,0.139426,0.0342278,0.263537,0.362653,0.638403,1
0.0026852,0.250399,0.467561,0.0957847,0.139426,0.0342278,0.273394,0.377797,0.633333,1
0.0064324,0.306429,0.235796,0.1015045,0.350882,0.0342278,0.297299,0.313811,0.62823,1
0.0074203,0.230049,0.388895,0.1392986,0.350882,0.0242278,0.395274,0.391309,0.617778,1
0.0050846,0.302932,0.398964,0.1037157,0.139426,0.0342278,0.272237,0.325031,0.588846,1
0.0087901,0.247099,0.370621,0.1099247,0.350882,0.0242278,0.651306,0.355903,0.609772,1
0.0161662,0.281296,0.429853,0.1433753,0.350882,0.0142278,0.291604,0.367388,0.609135,1
0.0123662,0.276065,0.40168,0.1152429,0.350882,0.0342278,0.271972,0.369735,0.606325,1
0.0090646,0.276065,0.434351,0.1230762,0.350882,0.0242278,0.280851,0.38159,0.605891,1
0.0086894,0.276065,0.459558,0.1237538,0.350882,0.0542278,0.292099,0.378087,0.605891,1
0.0039783,0.102049,0.391779,0.1244505,0.139426,0.2542278,0.282383,0.394599,0.514839,1
